MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly,Par,Cri,WCRT,Advantage
249663,124830,218196,436400,65978,262,13508.500000,22,6,6,2,2,8,0,5,6,249663,0.000000
181031,90513,218192,436400,74673,463,11455.000000,32,6,7,2,2,7,0,6,7,199211,10.050000
171741,85869,218194,436400,75628,306,15645.000000,23,8,5,2,2,8,0,7,5,171741,0.000000
170121,85059,218193,436400,71349,2032,17329.000000,22,6,5,2,2,6,0,5,6,180099,5.870000
158403,79201,218195,436400,64852,1777,16331.000000,17,5,5,1,1,6,0,5,5,158403,0.000000
204214,102106,218194,436400,79222,137,10848.000000,27,6,7,2,2,8,0,5,7,204214,0.000000
162917,81456,218188,436400,37495,445,10516.000000,37,7,7,3,3,8,0,7,7,172590,5.940000
153229,76611,218187,436400,48365,319,6327.000000,47,7,10,2,2,8,0,5,11,153229,0.000000
166979,83488,218196,436400,76138,1349,15236.500000,20,6,5,2,2,7,0,6,5,166979,0.000000
159914,79956,218190,436400,47080,69,7593.000000,42,6,9,2,2,7,0,5,10,159914,0.000000
192245,96121,218195,436400,74189,1341,24777.000000,17,6,5,1,1,8,0,5,5,192245,0.000000
156503,78248,218187,436400,37213,61,7591.000000,47,7,11,2,2,7,0,5,11,168165,7.460000
172344,86170,218193,436400,56981,616,11981.500000,30,8,6,2,2,8,0,7,6,191769,11.280000
142641,71318,218189,436400,46339,159,8448.000000,44,8,7,3,3,7,0,7,8,175409,22.980000
158724,79360,218191,436400,31663,41,9698.000000,37,6,9,2,2,7,0,5,9,164815,3.840000
169100,84549,218192,436400,62774,52,8509.500000,32,6,6,2,2,7,0,5,8,169100,0.000000
146996,73497,187994,376000,47724,443,10222.500000,32,6,8,2,2,7,0,5,8,146996,0.000000
199452,99724,218190,436400,59548,42,8807.500000,32,6,8,2,2,6,0,5,8,199452,0.000000
135094,67546,187993,376000,28850,822,8843.000000,37,6,9,2,2,7,0,5,9,135094,0.000000
186495,93245,218190,436400,57658,264,4631.500000,50,7,9,2,2,7,0,6,10,186495,0.000000
187123,93560,218194,436400,88169,503,10227.500000,26,7,6,2,2,7,0,6,6,187123,0.000000
155889,77943,218194,436400,35586,641,14846.000000,27,6,7,2,2,7,0,5,7,155889,0.000000
180362,90178,282893,565800,43944,614,16150.500000,32,6,8,2,2,7,0,5,8,180362,0.000000
159788,79892,187993,376000,56700,119,9218.000000,27,8,6,2,2,7,0,5,7,174704,9.340000
116458,58228,104392,208800,46748,49,4342.000000,32,7,8,2,2,7,0,5,8,116458,0.000000
277103,138549,282892,565800,88031,1676,16381.000000,27,7,7,2,2,7,0,5,7,277103,0.000000
78659,39328,104392,208800,27363,399,6380.000000,27,7,7,2,2,7,0,5,7,78659,0.000000
115595,57795,170592,341200,38855,8,8874.500000,32,6,8,2,2,7,0,5,8,115595,0.000000
123800,61899,170595,341200,47585,797,6341.000000,27,6,6,2,2,7,0,5,7,123800,0.000000
144648,72323,163193,326400,48436,167,6991.500000,32,7,8,2,2,7,0,5,8,158585,9.640000
170743,85370,187995,376000,78276,250,6637.000000,22,6,6,2,2,6,0,5,6,170743,0.000000
111367,55682,187992,376000,35752,463,9807.000000,30,8,6,2,2,8,0,7,6,125355,12.570000
152682,76340,187996,376000,76296,1115,15009.000000,17,6,5,1,1,6,0,5,5,167286,9.570000
132799,66399,187996,376000,67590,1433,10219.500000,22,6,6,2,2,8,0,5,6,132799,0.000000
239481,119739,282895,565800,82347,1092,28433.000000,17,6,5,1,1,6,0,5,5,280596,17.170000
227261,113629,282896,565800,136561,1722,18688.000000,22,7,4,2,2,8,0,5,6,227261,0.000000
142785,71389,187985,376000,25789,30,6207.500000,50,7,10,2,2,7,0,6,10,150043,5.090000
142849,71423,193492,387000,38043,186,8595.500000,32,7,8,2,2,7,0,5,8,142849,0.000000
128514,64256,218192,436400,60916,267,8574.000000,29,9,5,2,2,9,0,9,5,143989,12.050000
181972,90985,218194,436400,83336,95,11783.000000,26,8,5,2,2,9,0,8,5,181972,0.000000
136566,68281,218192,436400,42812,1679,10576.500000,30,8,6,2,2,9,0,7,6,137772,0.890000
121896,60947,187991,376000,53640,605,12651.000000,26,9,5,2,2,9,0,8,5,121896,0.000000
80524,40261,187991,376000,34852,353,11031.000000,29,9,5,2,2,9,0,9,5,102669,27.510000
109556,54777,187994,376000,36092,186,8878.000000,30,7,6,3,3,9,0,7,6,109556,0.000000
211499,105748,282894,565800,114077,687,14658.000000,26,8,5,2,2,9,0,8,5,238155,12.610000
194676,97336,282891,565800,73459,781,12483.500000,30,8,6,2,2,9,0,7,6,194676,0.000000
182051,91025,218194,436400,59126,771,14633.000000,23,7,5,2,2,9,0,7,5,182051,0.000000
143861,71928,218190,436400,31483,176,9856.000000,37,7,7,3,3,9,0,7,7,143861,0.000000
151412,75706,187997,376000,58026,396,11238.000000,23,8,5,2,2,9,0,7,5,151412,0.000000
173479,86738,282894,565800,94094,1129,16124.000000,23,7,5,2,2,9,0,7,5,173479,0.000000
212321,106159,218191,436400,40743,540,7669.000000,37,6,9,2,2,9,0,5,9,212321,0.000000
