MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly,Par,Cri,Nan,He,Serrano, AdvantageNan,AdvantageHe,AdvantageSerrano
317783,158890,349494,699000,85482,464,19568.500000,30,6,9,2,2,6,0,4,9,317783,381322,381320,0.000000,20.000000,20.000000
343059,171527,441987,884000,51886,1135,10016.000000,57,6,12,2,2,6,0,5,13,372199,433166,433216,8.500000,26.270000,26.290000
345595,172795,356242,712500,125903,5594,16670.000000,26,5,7,2,2,8,0,4,8,345595,391461,391459,0.000000,13.280000,13.280000
202695,101347,358744,717500,83316,1581,28713.000000,26,8,5,2,2,10,0,6,6,202695,265757,254176,0.000000,31.120000,25.400000
230058,115028,357994,716000,107567,872,27036.500000,20,7,4,2,2,10,0,6,5,230058,282184,278653,0.000000,22.660000,21.130000
270475,135237,357997,716000,120097,5693,43976.000000,14,6,4,1,1,10,0,6,4,270475,315028,315028,0.000000,16.480000,16.480000
487598,243797,498241,996500,114164,42,14610.500000,42,7,10,2,2,10,0,4,12,487598,538493,538489,0.000000,10.440000,10.440000
316944,158469,330740,661500,72450,101,11409.500000,42,6,11,2,2,6,0,4,12,316944,376862,374370,0.000000,18.910000,18.120000
219326,109660,268242,536500,58624,1312,8814.500000,42,6,11,2,2,6,0,4,12,230742,272780,272189,5.210000,24.380000,24.110000
340192,170093,449991,900000,62364,304,18335.000000,42,6,11,2,2,6,0,4,12,361480,441496,433494,6.260000,29.780000,27.430000
337085,168539,400233,800500,88697,27,10102.000000,47,7,11,2,2,8,0,5,11,337085,395087,395012,0.000000,17.210000,17.190000
257812,128905,336741,673500,77846,358,20600.500000,30,7,6,2,2,8,0,7,6,257812,312717,309773,0.000000,21.300000,20.160000
467626,233811,429492,859000,128434,732,16878.000000,30,9,6,2,2,8,0,7,6,467626,516458,516548,0.000000,10.450000,10.470000
420205,210101,622492,1245000,156998,2123,31620.000000,30,7,6,2,2,8,0,7,6,467657,523305,523305,11.300000,24.540000,24.540000
155372,77685,252245,504500,59135,328,13277.500000,30,7,6,2,2,8,0,7,6,166237,200029,199013,7.000000,28.750000,28.090000
234538,117268,409748,819500,124991,5178,42288.000000,16,7,4,2,2,8,0,7,4,234538,307659,307659,0.000000,31.180000,31.180000
306202,153100,349745,699500,131834,2023,30356.500000,16,7,4,2,2,8,0,7,4,306202,365010,355365,0.000000,19.210000,16.060000
253770,126884,290744,581500,161127,1992,21915.500000,16,7,4,2,2,8,0,7,4,253770,296732,294737,0.000000,16.930000,16.150000
532292,266145,669746,1339500,249555,4222,77856.500000,16,7,4,2,2,8,0,7,4,532292,637117,633193,0.000000,19.700000,18.960000
335247,167623,382998,766000,185614,346,35147.500000,16,7,4,2,2,8,0,7,4,335247,390734,389092,0.000000,16.560000,16.070000
353063,176530,381245,762500,205467,81,30535.500000,16,7,4,2,2,8,0,7,4,353063,409579,404243,0.000000,16.010000,14.500000
327418,163707,341244,682500,246693,2097,24177.500000,16,8,4,2,2,8,0,7,4,327418,374518,371804,0.000000,14.390000,13.560000
273368,136683,327245,654500,127997,3838,30746.000000,16,7,4,2,2,8,0,7,4,273368,321011,321010,0.000000,17.430000,17.430000
253167,126582,327496,655000,166649,4580,31707.500000,16,7,4,2,2,8,0,7,4,253167,305320,303397,0.000000,20.610000,19.850000
365538,182768,409496,819000,151624,2122,34548.500000,16,7,4,2,2,8,0,7,4,365538,421956,422221,0.000000,15.440000,15.510000
289000,144499,352491,705000,65868,24,12170.000000,37,8,7,3,3,12,0,7,7,289000,323669,323667,0.000000,12.000000,12.000000
222307,111152,352242,704500,69847,626,16076.500000,32,7,7,2,2,12,0,6,7,222307,262493,262490,0.000000,18.080000,18.080000
170614,85306,298992,598000,45980,91,13141.000000,37,7,7,2,2,12,0,7,7,170614,206232,206230,0.000000,20.880000,20.880000
404261,202127,493238,986500,69845,118,10918.000000,67,7,15,2,2,10,0,5,15,404261,462490,462485,0.000000,14.410000,14.410000
339263,169629,368239,736500,109003,79,9612.000000,37,7,7,2,2,12,0,7,7,339263,372369,372367,0.000000,9.760000,9.760000
258779,129389,352245,704500,122432,5091,22052.000000,23,7,5,2,2,12,0,7,5,258779,295924,295923,0.000000,14.360000,14.360000
255595,127797,304746,609500,95471,570,10555.000000,23,7,5,2,2,12,0,7,5,255595,285088,285088,0.000000,11.540000,11.540000
