MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly,Par,Cri,WCRT,Advantage
410860,205429,545496,1091000,154299,9698,46524.500000,20,6,5,2,2,7,0,6,5,462419,12.550000
367962,183979,469994,940000,139898,981,32699.500000,20,7,5,2,2,7,0,6,5,367962,0.000000
522549,261273,707245,1414500,311800,248,57703.500000,20,6,5,2,2,7,0,6,5,522549,0.000000
240976,120488,260995,522000,110266,211,18230.500000,20,7,5,2,2,7,0,6,5,244604,1.510000
319291,159645,426493,853000,194508,3235,28509.500000,20,7,3,2,2,7,0,6,5,319291,0.000000
356252,178125,407995,816000,198139,1761,31271.500000,20,8,5,2,2,7,0,6,5,420305,17.980000
370567,185281,483743,967500,187827,411,36872.500000,20,7,5,2,2,7,0,6,5,370567,0.000000
391417,195707,545495,1091000,127975,18858,59747.000000,17,5,5,2,2,7,0,5,5,391417,0.000000
448945,224471,457493,915000,207252,443,31084.000000,20,7,5,2,2,7,0,6,5,472132,5.170000
344870,172434,469997,940000,150026,142,53908.000000,17,6,5,2,2,7,0,5,5,344870,0.000000
549330,274664,545493,1091000,225822,1517,15328.000000,37,7,7,3,3,7,0,7,7,549330,0.000000
342986,171491,545493,1091000,115082,2100,28531.500000,32,7,7,2,2,7,0,6,7,390723,13.920000
413454,206725,514993,1030000,201043,401,34822.000000,20,7,5,2,2,7,0,6,5,413454,0.000000
550031,275014,545496,1091000,206643,2684,27999.000000,22,6,6,2,2,7,0,5,6,550031,0.000000
402551,201274,545493,1091000,126760,308,20579.000000,30,8,6,2,2,7,0,7,6,468853,16.480000
588797,294397,707245,1414500,174270,24719,90483.000000,17,6,5,1,1,7,0,5,5,588797,0.000000
385506,192751,545491,1091000,78440,169,15022.000000,47,6,10,2,2,7,0,5,11,385506,0.000000
375100,187548,545490,1091000,130675,1386,11848.500000,44,8,8,3,3,7,0,7,8,408654,8.950000
