MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly,Par,Cri,WCRT,Advantage
246800,123399,218197,436400,199057,6818,6818.000000,32,7,7,2,2,4,999,6,7,287385,16.450000
229286,114642,218197,436400,109455,12122,12282.000000,18,8,4,2,2,3,999,8,4,265765,15.910000
259716,129858,218198,436400,177716,12122,12122.500000,18,8,4,2,2,4,999,8,4,291566,12.270000
208272,104134,218194,436400,136737,12835,13369.000000,17,5,5,1,1,4,999,5,5,255031,22.460000
260708,130354,218198,436400,206006,18184,18208.000000,12,6,4,1,1,4,999,5,4,304625,16.850000
225248,112622,218196,436400,86849,15628,20256.500000,14,7,4,1,1,4,999,6,4,257212,14.200000
225023,112510,218195,436400,110216,15585,15737.500000,14,5,5,1,1,3,999,4,5,295482,31.320000
201667,100832,218188,436400,102558,7273,7273.000000,30,8,6,2,2,8,0,7,6,201667,0.000000
265137,132568,218199,436400,142244,22770,29112.000000,10,5,4,1,1,4,999,4,4,265137,0.000000
208938,104468,218194,436400,146008,13637,13641.000000,16,8,4,1,1,6,0,7,4,244576,17.060000
200872,100435,218197,436400,127283,9918,9922.000000,22,6,7,2,2,3,999,4,7,274884,36.850000
270910,135453,218196,436400,195859,13637,13733.500000,16,7,4,2,2,3,1,7,4,303321,11.970000
239421,119710,218199,436400,160719,9486,9486.000000,23,7,5,2,2,4,999,7,5,272240,13.710000
282823,141410,218196,436400,181770,10910,10912.000000,20,9,4,2,2,3,999,9,4,297573,5.220000
199929,99963,218196,436400,91279,8392,8394.500000,26,5,8,2,2,3,999,4,8,284353,42.230000
299198,149599,218199,436400,205152,22060,23333.500000,10,5,4,1,1,3,999,4,4,336715,12.540000
228701,114350,218197,436400,133482,3896,3896.000000,56,9,8,4,4,9,0,9,8,239362,4.670000
175730,87864,218196,436400,136105,3356,3356.000000,65,9,9,3,3,9,0,9,9,197567,12.430000
281698,140845,218188,436400,127697,7273,7273.000000,30,8,5,2,2,3,999,7,6,308979,9.690000
151100,75549,218197,436400,87931,9918,9935.500000,22,5,6,2,2,8,0,4,7,151100,0.000000
244262,122129,218185,436400,128822,6417,6417.000000,34,9,6,3,3,6,999,8,6,277265,13.520000
243169,121581,218188,436400,127585,6417,6418.000000,34,6,10,2,2,6,0,4,10,243169,0.000000
234570,117284,218198,436400,163163,6818,6818.000000,32,6,7,2,2,8,0,6,7,234570,0.000000
157278,78638,218196,436400,71246,10910,11093.000000,20,7,5,2,2,8,0,6,5,157278,0.000000
267478,133738,218196,436400,222841,8392,8392.000000,26,6,6,2,2,7,999,6,6,279752,4.590000
219347,109672,218197,436400,178961,12122,12150.000000,18,8,4,2,2,8,0,8,4,244339,11.400000
276138,138068,218197,436400,219565,8392,8395.000000,26,6,7,2,2,8,0,4,8,276138,0.000000
264145,132071,218196,436400,164993,6818,6818.000000,32,6,7,2,2,7,0,6,7,278128,5.300000
225492,112745,218199,436400,148629,21828,27821.500000,10,4,4,1,1,6,0,4,4,225492,0.000000
272963,136478,218189,436400,220725,8081,8081.000000,27,6,7,2,2,6,0,5,7,294094,7.750000
281303,140647,218188,436400,212293,7273,7273.000000,30,6,9,2,2,6,0,4,9,281303,0.000000
243804,121898,218189,436400,133605,7273,7274.000000,30,6,9,2,2,8,0,4,9,243804,0.000000
276501,138250,218198,436400,197805,8392,8392.000000,26,6,8,2,2,6,0,4,8,296097,7.090000
258548,129271,218188,436400,120960,6417,6417.000000,34,6,10,2,2,7,0,4,10,258548,0.000000
256937,128466,218190,436400,149576,8081,8081.000000,27,6,7,2,2,7,0,5,7,256937,0.000000
218091,109042,218188,436400,133303,7273,7273.000000,30,6,9,2,2,7,0,4,9,218091,0.000000
219695,109846,218195,436400,73553,8392,8410.000000,26,6,8,2,2,7,0,4,8,219695,0.000000
194270,97133,218196,436400,108350,4364,4364.000000,50,8,10,3,3,7,0,6,10,216342,11.370000
287925,143962,218198,436400,155954,21836,26059.000000,10,5,4,1,1,9,0,4,4,287925,0.000000
164555,82277,218196,436400,85718,10910,10942.000000,20,7,5,2,2,7,0,6,5,165488,0.570000
172526,86262,218198,436400,125355,15585,15974.000000,14,6,4,1,1,7,0,6,4,172526,0.000000
262020,131006,218184,436400,184961,5897,5897.000000,37,6,9,2,2,8,0,5,9,262020,0.000000
247147,123573,218197,436400,184482,12122,12274.500000,18,6,6,2,2,8,0,4,6,247147,0.000000
243376,121684,218180,436400,100739,4959,4959.000000,44,6,9,2,2,8,0,6,9,243376,0.000000
245900,122949,218197,436400,173846,4364,4364.000000,50,7,9,2,2,8,0,6,10,257558,4.750000
283369,141684,218198,436400,129241,12122,12123.500000,18,5,6,2,2,4,0,4,6,312535,10.300000
295303,147650,218196,436400,232217,15585,15586.500000,14,4,5,1,1,7,0,4,5,295303,0.000000
206420,103208,218194,436400,154873,13637,13736.500000,16,7,4,2,2,7,0,7,4,206420,0.000000
206896,103447,218198,436400,146606,18183,19077.000000,12,6,4,1,1,6,0,5,4,206896,0.000000
159807,79903,218196,436400,83182,12835,13321.000000,17,6,5,2,2,8,0,5,5,159807,0.000000
232776,116386,218196,436400,91534,12122,12128.000000,18,6,6,2,2,7,0,4,6,232776,0.000000
211695,105847,218198,436400,156204,18186,18855.000000,12,6,4,1,1,8,0,5,4,211695,0.000000
183579,91788,218197,436400,77497,15587,19110.500000,14,6,5,1,1,8,0,4,5,183579,0.000000
153542,76770,218195,436400,115036,12835,12837.000000,17,6,4,1,1,7,0,5,5,153542,0.000000
