MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly,Par,Cri,WCRT,Advantage
472087,236043,545495,1091000,170562,73,19194.500000,30,8,6,2,2,8,0,7,6,497297,5.350000
279286,139641,545486,1091000,61549,297,12450.000000,65,8,10,3,3,8,0,7,11,337498,20.850000
502317,251156,545493,1091000,280579,474,25510.500000,26,8,5,2,2,8,0,8,5,502317,0.000000
470937,235466,545489,1091000,132819,223,17096.500000,38,8,8,2,2,8,0,6,8,470937,0.000000
362696,181345,545491,1091000,104921,4461,24126.000000,32,7,7,2,2,8,0,6,7,362696,0.000000
275688,137843,545490,1091000,108677,745,22402.000000,38,10,6,3,3,9,0,9,6,314234,13.990000
403518,201757,545492,1091000,159253,687,29672.000000,29,9,5,3,3,9,0,9,5,414433,2.710000
267095,133547,469990,940000,95302,17,29027.000000,29,9,5,2,2,9,0,9,5,310891,16.400000
575108,287552,707244,1414500,278358,252,26867.000000,29,9,5,3,3,9,0,9,5,605866,5.350000
197426,98712,260993,522000,69047,1518,10564.000000,29,9,5,3,3,9,0,9,5,197426,0.000000
279243,139620,426493,853000,77270,788,25079.000000,29,9,5,3,3,9,0,9,5,287950,3.120000
174613,87306,407995,816000,55372,366,26531.000000,29,9,5,3,3,9,0,9,5,207492,18.830000
363747,181871,545489,1091000,87133,217,19476.500000,44,8,8,3,3,9,0,7,8,384797,5.790000
300671,150334,545487,1091000,82008,291,18423.000000,51,8,8,3,3,9,0,7,9,300671,0.000000
407640,203817,545487,1091000,128087,44,13505.500000,50,8,10,2,2,8,0,6,10,407640,0.000000
304419,152208,469989,940000,81193,196,14324.000000,44,7,8,3,3,9,0,7,8,304419,0.000000
464535,232265,707239,1414500,126361,434,22055.500000,44,8,8,3,3,9,0,7,8,464535,0.000000
304069,152032,469990,940000,61864,533,15608.000000,51,9,9,3,3,9,0,7,9,304069,0.000000
291366,145681,469988,940000,74868,33,15864.000000,50,7,10,2,2,8,0,6,10,291366,0.000000
305123,152561,545490,1091000,86764,726,18015.500000,42,9,7,3,3,8,0,8,7,367750,20.530000
329527,164761,469988,940000,97825,379,17037.500000,42,9,7,3,3,8,0,8,7,373485,13.340000
529938,264967,707240,1414500,157335,1248,17375.500000,42,8,7,3,3,8,0,8,7,590118,11.360000
161632,80815,260991,522000,70620,125,8894.000000,42,9,7,3,3,8,0,8,7,199225,23.260000
512241,256118,545489,1091000,103128,122,13921.000000,47,6,11,2,2,8,0,5,11,512241,0.000000
434829,217412,469990,940000,113693,1190,13148.000000,47,7,11,2,2,8,0,5,11,461788,6.200000
510201,255097,707238,1414500,148261,250,24880.000000,47,6,10,2,2,8,0,5,11,510201,0.000000
318787,159391,545486,1091000,84473,362,11904.500000,58,8,9,3,3,9,0,8,9,333873,4.740000
175733,87866,260991,522000,61171,232,8644.000000,44,9,8,2,2,9,0,7,8,179886,2.370000
298704,149351,469986,940000,100438,185,9740.000000,58,9,9,3,3,9,0,8,9,298704,0.000000
341128,170562,545486,1091000,84821,19,12908.500000,58,8,9,3,3,8,0,8,9,420858,23.380000
347010,173504,707237,1414500,114161,96,25259.000000,51,8,9,3,3,9,0,7,9,347010,0.000000
184018,92007,260985,522000,46440,153,9018.000000,51,9,8,3,3,9,0,7,9,186799,1.520000
354485,177240,545481,1091000,60618,188,10408.500000,74,10,11,3,3,9,0,8,11,359326,1.370000
305777,152886,426487,853000,98001,453,10111.000000,51,8,9,3,3,9,0,7,9,305777,0.000000
288910,144452,407986,816000,105989,170,11097.000000,51,8,9,3,3,9,0,7,9,288910,0.000000
