"MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly"
"313970,156983,218196,436400,149025,21865,25135.500000,10,5,4,1,1,3,999"
"288164,144081,218198,436400,135790,21836,25916.500000,10,5,4,1,1,9,0"
"302414,151207,218199,436400,143252,21820,22698.000000,10,4,4,1,1,6,0"
"278512,139255,218197,436400,128337,21888,22988.000000,10,5,4,1,1,7,0"
"230065,115031,218197,436400,140666,21847,29923.000000,10,4,4,1,1,8,0"
"268053,134026,218197,436400,172178,21826,25550.500000,10,5,4,1,1,4,999"
"185759,92878,187997,376000,99341,18861,29813.500000,10,5,4,1,1,9,0"
"233142,116569,187995,376000,148263,18823,21961.000000,10,4,4,1,1,3,999"
"179433,89715,187998,376000,115441,18800,18980.500000,10,5,4,1,1,8,0"
"184042,92019,187996,376000,108001,19015,21379.000000,10,5,4,1,1,6,0"
"180741,90370,187998,376000,81877,19469,32771.000000,10,6,4,1,1,7,0"
"308864,154432,282899,565800,203396,28292,31751.000000,10,4,4,1,1,9,0"
"320670,160334,282898,565800,125164,28316,42803.500000,10,5,4,1,1,3,0"
"339668,169834,282900,565800,250754,28302,28974.000000,10,4,4,1,1,8,0"
"377031,188514,282897,565800,205517,28435,32556.500000,10,4,4,1,1,7,0"
"138892,69445,104398,208800,79687,10440,11472.000000,10,5,4,1,1,8,0"
"84174,42086,104397,208800,50390,10464,11745.500000,10,5,4,1,1,9,0"
"180956,90476,170597,341200,92253,17525,26071.000000,10,4,4,1,1,8,0"
"132599,66298,104398,208800,53425,10545,13488.500000,10,4,4,1,1,7,0"
"212816,106406,170597,341200,118887,17109,19893.000000,10,5,4,1,1,9,0"
"181510,90754,163197,326400,130436,16323,16493.000000,10,5,4,1,1,8,0"
"233363,116680,170597,341200,112189,17060,17600.000000,10,5,4,1,1,7,0"
"148959,74478,163198,326400,97679,16326,18130.500000,10,5,4,1,1,9,0"
"228954,114476,193497,387000,102015,19433,25285.500000,10,5,4,1,1,8,0"
"193590,96794,163196,326400,97367,17339,24618.000000,10,5,4,1,1,7,0"
"187078,93538,193497,387000,74052,20543,31926.500000,10,4,4,1,1,9,0"
"192058,96028,182998,366000,82040,18301,23563.500000,10,4,4,1,1,8,0"
"218558,109277,193496,387000,68483,19361,41007.500000,10,5,4,1,1,7,0"
"254329,127163,182997,366000,191843,18301,18532.500000,10,5,4,1,1,9,0"
"265030,132514,205997,412000,202916,20602,21374.500000,10,4,4,1,1,8,0"
"255748,127873,182997,366000,179134,18303,18421.500000,10,5,4,1,1,7,0"
"286033,143016,205998,412000,199407,20615,20961.000000,10,5,4,1,1,9,0"
"408108,204053,291796,583600,298069,29180,29285.000000,10,4,4,1,1,8,0"
"288139,144069,205998,412000,215601,20600,20634.000000,10,5,4,1,1,7,0"
"391850,195924,291798,583600,130113,29180,30210.000000,10,4,4,1,1,9,0"
"251572,125785,199797,399600,123670,19982,21334.500000,10,4,4,1,1,8,0"
"364175,182087,291798,583600,225622,29520,31772.500000,10,4,4,1,1,7,0"
"189277,94637,199797,399600,120560,19987,22336.500000,10,4,4,1,1,9,0"
"329722,164861,254099,508200,219306,25480,30517.500000,10,5,4,1,1,8,0"
"232843,116420,199797,399600,96659,19980,26716.000000,10,4,4,1,1,7,0"
"185037,92518,147898,295800,88212,14808,17356.500000,10,4,4,1,1,8,0"
"312315,156157,254098,508200,225418,26474,28907.000000,10,5,4,1,1,9,0"
"347081,173539,254097,508200,213899,25530,27578.500000,10,5,4,1,1,7,0"
"115320,57659,116097,232200,57359,11633,12483.000000,10,4,4,1,1,8,0"
"207036,103516,147897,295800,159543,14790,14801.500000,10,4,4,1,1,9,0"
"213483,106740,194896,389800,141215,19491,21427.500000,10,4,4,1,1,8,0"
"177442,88720,147898,295800,133653,14807,18204.500000,10,5,3,1,1,7,0"
"94829,47414,116098,232200,58168,11611,14542.500000,10,5,4,1,1,9,0"
"141944,70971,116097,232200,73780,11616,14745.000000,10,5,4,1,1,7,0"
"275396,137697,289598,579200,182038,28960,28966.500000,10,4,4,1,1,8,0"
"270582,135290,194897,389800,154625,19490,20208.000000,10,4,4,1,1,9,0"
"271266,135632,194898,389800,152359,19494,19634.000000,10,6,4,1,1,7,0"
"276458,138228,286397,572800,187560,28642,28948.000000,10,5,4,1,1,8,0"
"390653,195325,289597,579200,302457,28963,29060.000000,10,4,4,1,1,9,0"
"403481,201739,289598,579200,281695,28967,29107.500000,10,4,4,1,1,7,0"
"353562,176780,285997,572000,205258,28601,33643.500000,10,5,4,1,1,8,0"
"385596,192797,286398,572800,291157,28640,29292.500000,10,5,4,1,1,9,0"
"352955,176477,286398,572800,295415,28682,28982.000000,10,5,3,1,1,7,0"
"297481,148740,285998,572000,163610,28673,35345.000000,10,4,4,1,1,9,0"
"341267,170632,254097,508200,257935,25470,26683.500000,10,5,4,1,1,8,0"
"382451,191225,285998,572000,155216,28603,33060.000000,10,5,4,1,1,7,0"
"336337,168167,254097,508200,256498,25413,25916.500000,10,4,4,1,1,9,0"
"344801,172399,254098,508200,258033,25410,25496.500000,10,5,4,1,1,7,0"
"102130,51064,111198,222400,68644,11122,11202.500000,10,4,4,1,1,8,0"
"147611,73805,111197,222400,67830,11149,13994.500000,10,5,4,1,1,9,0"
"157354,78676,150297,300600,109587,15037,15821.000000,10,5,4,1,1,8,0"
"152428,76213,111197,222400,79616,11120,11722.500000,10,4,4,1,1,7,0"
"185227,92613,133299,266600,81562,13330,13572.500000,10,5,4,1,1,8,0"
