MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly
298461,149229,218197,436400,113173,21872,24217.000000,10,4,4,1,1,8,0
305374,152686,218198,436400,236034,21821,21863.000000,10,5,4,1,1,7,0
248006,124002,218198,436400,181499,21822,22745.000000,10,4,4,1,1,9,0
235393,117695,187998,376000,86979,18854,31361.500000,10,5,4,1,1,7,0
171167,85582,187997,376000,102063,18818,22711.500000,10,4,4,1,1,9,0
337590,168793,282897,565800,137705,28319,31567.000000,10,5,4,1,1,7,0
250774,125387,187998,376000,181030,18859,19263.500000,10,4,4,1,1,8,0
395884,197941,282899,565800,239414,28290,28308.000000,10,5,4,1,1,9,0
329029,164514,282898,565800,175081,28292,32259.500000,10,4,4,1,1,8,0
100966,50483,104399,208800,69644,10440,10474.500000,10,4,4,1,1,9,0
145197,72598,104399,208800,110605,10440,10443.500000,10,5,4,1,1,7,0
183503,91750,170597,341200,80454,17063,17217.000000,10,5,4,1,1,7,0
231267,115633,170597,341200,163813,17095,18395.000000,10,4,4,1,1,9,0
145413,72706,104399,208800,112183,10440,10520.000000,10,5,4,1,1,8,0
226297,113148,163198,326400,170280,16320,16515.000000,10,5,4,1,1,7,0
223578,111788,163198,326400,141714,16326,16866.500000,10,4,4,1,1,9,0
237398,118698,170599,341200,97573,17060,17511.000000,10,5,4,1,1,8,0
259188,129594,193498,387000,184222,19383,20087.000000,10,5,4,1,1,9,0
211112,105555,163196,326400,160386,16349,18579.500000,10,5,4,1,1,8,0
263745,131872,193499,387000,175419,19350,19397.000000,10,5,4,1,1,7,0
241530,120764,182998,366000,103578,18300,21343.500000,10,5,4,1,1,7,0
244827,122413,182999,366000,165436,18301,19349.000000,10,4,4,1,1,9,0
238296,119147,205997,412000,103499,20648,22186.500000,10,5,4,1,1,7,0
213489,106744,205998,412000,83435,21255,33994.500000,10,4,4,1,1,9,0
218244,109121,193497,387000,153581,19350,20802.000000,10,5,4,1,1,8,0
312315,156157,291797,583600,181229,29181,32259.000000,10,5,4,1,1,7,0
209084,104542,182998,366000,145442,18301,18407.000000,10,4,4,1,1,8,0
277874,138936,199797,399600,176041,19980,20044.500000,10,5,4,1,1,7,0
268010,134004,205997,412000,126845,20617,20848.500000,10,5,4,1,1,8,0
263396,131697,291798,583600,175174,29182,29483.000000,10,4,4,1,1,9,0
335823,167911,254098,508200,147800,25630,29819.500000,10,4,4,1,1,7,0
396524,198261,291797,583600,222934,29181,33952.000000,10,5,4,1,1,8,0
131748,65873,147897,295800,84700,14923,16816.500000,10,5,3,1,1,7,0
180252,90125,199797,399600,140286,19980,20042.500000,10,5,3,1,1,9,0
267126,133562,199798,399600,187214,20020,23395.000000,10,4,4,1,1,8,0
112790,56394,116098,232200,67596,11745,18039.500000,10,5,4,1,1,7,0
300232,150116,254099,508200,103950,25412,29144.500000,10,4,4,1,1,9,0
344425,172211,254097,508200,231294,25410,29256.500000,10,4,4,1,1,8,0
244200,122099,194897,389800,185612,19496,19536.000000,10,5,4,1,1,7,0
185254,92626,147897,295800,85165,14809,20919.500000,10,5,4,1,1,8,0
342861,171429,289597,579200,225215,29125,41380.500000,10,5,4,1,1,7,0
187674,93836,147897,295800,127220,14877,17646.500000,10,4,4,1,1,9,0
125341,62670,116098,232200,88869,11654,12210.000000,10,5,4,1,1,8,0
376765,188381,286397,572800,257511,28952,32013.000000,10,5,4,1,1,7,0
154158,77078,116098,232200,56398,11627,12876.000000,10,4,4,1,1,9,0
264764,132381,194898,389800,199527,19490,19972.000000,10,5,4,1,1,9,0
268152,134075,194897,389800,195901,19501,20644.500000,10,5,4,1,1,8,0
398053,199026,289599,579200,208902,28960,30138.500000,10,5,4,1,1,9,0
400499,200249,289597,579200,217088,28966,29155.500000,10,4,4,1,1,8,0
281462,140729,285996,572000,145005,28735,43501.000000,10,5,4,1,1,7,0
324344,162171,286398,572800,250575,28652,30868.500000,10,5,3,1,1,9,0
316666,158332,286398,572800,230221,28640,29039.500000,10,4,4,1,1,8,0
323191,161594,254097,508200,158333,25412,31722.500000,10,5,4,1,1,7,0
319650,159824,218198,436400,224989,21820,22059.000000,10,4,4,1,1,3,999
136789,68394,111199,222400,67072,11122,12049.500000,10,5,4,1,1,7,0
398194,199096,285997,572000,311776,28601,28680.000000,10,4,4,1,1,9,0
382122,191060,285998,572000,246410,28692,31401.500000,10,4,4,1,1,8,0
351618,175808,254097,508200,257890,25415,26258.500000,10,5,4,1,1,9,0
168029,84014,150298,300600,118273,15096,17250.000000,10,5,4,1,1,7,0
126559,63278,111198,222400,85095,11126,11929.000000,10,5,4,1,1,9,0
244725,122361,254097,508200,141983,25411,25475.500000,10,5,4,1,1,8,0
153784,76892,111199,222400,87550,11120,11433.000000,10,4,4,1,1,8,0
165454,82726,133297,266600,94093,13441,17909.500000,10,5,4,1,1,7,0
106026,53012,150297,300600,66903,15036,19561.500000,10,5,3,1,1,8,0
262854,131426,187998,376000,198110,18800,18898.500000,10,5,4,1,1,3,999
165871,82935,150298,300600,119875,15032,15297.500000,10,5,4,1,1,9,0
186295,93147,236697,473400,110534,23732,26520.500000,10,4,4,1,1,7,0
156519,78258,133297,266600,112521,13333,13688.500000,10,4,4,1,1,9,0
141552,70775,133298,266600,63574,13533,19381.000000,10,4,4,1,1,8,0
217687,108843,236697,473400,137090,23849,26206.500000,10,5,3,1,1,9,0
113531,56765,100998,202000,65753,10104,16033.500000,10,5,4,1,1,7,0
108610,54304,100998,202000,66763,10103,11689.500000,10,5,4,1,1,9,0
285904,142952,243199,486400,206310,24368,24626.500000,10,4,4,1,1,7,0
340386,170192,243198,486400,262205,24320,24339.500000,10,5,4,1,1,9,0
161210,80604,119898,239800,79239,11992,12193.500000,10,4,4,1,1,9,0
112478,56238,119897,239800,75515,12006,12814.500000,10,5,4,1,1,7,0
128535,64267,110798,221600,95142,11080,11149.500000,10,5,4,1,1,7,0
242119,121059,191298,382600,128270,19130,19213.500000,10,5,3,1,1,7,0
232259,116128,283097,566200,140969,28620,49184.500000,10,5,4,1,1,7,0
158984,79491,147297,294600,98948,14747,18814.500000,10,5,4,1,1,7,0
202051,101025,186998,374000,145749,18700,18712.500000,10,4,4,1,1,7,0
337002,168500,295997,592000,203662,29956,37427.500000,10,5,4,1,1,7,0
173802,86899,139996,280000,80023,14067,19804.500000,10,4,4,1,1,7,0
152043,76021,135698,271400,67344,13584,21443.500000,10,4,4,1,1,7,0
161682,80840,149399,298800,111752,15150,15804.000000,10,5,4,1,1,7,0
194339,97169,144599,289200,114918,14460,14608.000000,10,4,4,1,1,7,0
211875,105936,157497,315000,127631,15756,16237.000000,10,4,4,1,1,7,0
152907,76453,164598,329200,92212,16460,21765.500000,10,4,4,1,1,7,0
172937,86467,134897,269800,128787,13490,15224.500000,10,4,4,1,1,7,0
405083,202540,291097,582200,231339,29110,30298.000000,10,4,4,1,1,7,0
