MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly
197175,98587,218198,436400,148272,8392,8392.000000,26,7,6,2,2,9,0
243204,121600,218194,436400,200585,8392,8416.500000,26,7,6,2,2,8,0
189114,94556,218194,436400,80912,8392,8856.500000,26,6,5,2,2,7,0
215603,107800,187995,376000,132997,7230,7253.500000,26,6,6,2,2,9,0
173444,86721,187997,376000,60587,7230,7230.000000,26,7,5,2,2,7,0
301770,150884,282897,565800,223776,10880,10880.000000,26,7,6,2,2,9,0
102923,51459,104389,208800,50014,4015,4015.000000,26,7,6,2,2,9,0
230295,115147,187999,376000,194145,7230,7230.000000,26,7,6,2,2,8,0
238084,119041,282897,565800,143846,10880,10888.000000,26,7,6,2,2,8,0
182317,91156,170589,341200,149491,6561,6561.000000,26,8,6,2,2,9,0
333188,166593,282896,565800,240085,10880,10880.000000,26,7,6,2,2,7,0
91184,45590,104390,208800,63249,4015,4015.500000,26,7,6,2,2,8,0
117039,58518,104389,208800,65753,4015,4015.000000,26,9,6,2,2,7,0
174426,87211,170589,341200,96475,6561,6561.000000,26,8,5,2,2,8,0
191914,95955,170590,341200,118965,6561,6561.000000,26,7,6,2,2,7,0
109808,54903,163197,326400,70523,6276,6276.000000,26,7,6,2,2,8,0
193110,96554,163198,326400,120147,6276,6279.500000,26,7,6,2,2,7,0
163645,81821,193494,387000,125777,7442,7491.000000,26,7,6,2,2,8,0
170335,85167,193497,387000,140028,7442,7442.000000,26,7,5,2,2,7,0
182773,91385,182996,366000,102683,7038,7041.000000,26,7,6,2,2,8,0
167771,83884,205989,412000,75283,7923,7923.000000,26,6,5,2,2,8,0
350350,175173,291791,583600,233635,11223,11223.000000,26,7,6,2,2,8,0
197499,98749,199798,399600,143414,7684,7686.500000,26,7,6,2,2,8,0
311106,155551,254091,508200,249663,9773,9773.000000,26,7,6,2,2,8,0
151724,75861,147897,295800,106622,5688,5691.000000,26,7,6,2,2,8,0
136125,68061,116092,232200,100195,4465,4492.000000,26,7,6,2,2,8,0
170014,85006,194897,389800,129611,7496,7497.000000,26,7,6,2,2,8,0
189411,94704,163195,326400,114637,6276,6405.000000,26,6,6,2,2,9,0
186940,93469,193496,387000,157171,7442,7442.000000,26,8,5,2,2,9,0
350985,175491,289595,579200,281677,11138,11141.000000,26,7,6,2,2,8,0
217198,108598,182997,366000,174022,7038,7039.500000,26,8,6,2,2,9,0
234085,117041,205990,412000,160374,7923,7923.000000,26,7,6,2,2,9,0
357031,178515,291791,583600,195246,11223,11223.000000,26,7,6,2,2,9,0
275125,137561,286390,572800,219676,11015,11015.000000,26,8,6,2,2,8,0
350842,175420,285998,572000,295159,11000,11000.000000,26,6,6,2,2,8,0
292878,146437,254089,508200,243056,9773,9773.000000,26,6,6,2,2,8,0
233262,116629,199794,399600,104619,7684,7686.000000,26,7,6,2,2,9,0
295469,147733,254091,508200,228136,9773,9773.000000,26,7,6,2,2,9,0
